Prod,PUBLICO TIENDA
PANTALLA XIAOMI REDMI NOTE 9 C/MARCO,2090
PANTALLA XIAOMI REDMI NOTE 9 PRO,2480
PANTALLA XIAOMI REDMI NOTE 9S,2590
PANTALLA XIAOMI REDMI NOTE 9S C/ MARCO,5280
PANTALLA XIAOMI REDMI S2,2520
PANTALLA ZTE BLADE A51,3190
PANTALLA ZTE BLADE A71,3690
PARLANTE ALTAVOZ HUAWEI NOVA 5T,1350
PASTA PARA SOLDAR MECHANIC 148º,525
PASTA PARA SOLDAR MECHANIC 183º,1220
PEGAMENTO B7000,400
PEGAMENTO FACE ID QIANLI,1400
PEGAMENTO T7000,400
PICKUP,590
PINCEL ANTIESTATICO SS-022B,320
PINZAS VETUS JP,935
PLACA B250 BTC PRO,11590
PLACA DE CARGA PARA XIAOMI REDMI K50,0
PLACA MADRE MAC,3990
PLACA STENCIL IPHONE,3500
PLACA USB AUDIO DC-IN JACK BOARD C/ CABLE,4200
PUNTA PARA SOLDAR JBC C-210,3500
PUNTAS MULTIMETRO TESTER,500
PUNTAS SOLDADOR CAUTIN,1380
PUNZADOR DE DIAMANTE RELIFE RL-066,680
RECIPIENTE DE ALCOHOL DE 50ML,58
RECIPIENTE DE ALCOHOL DE 50ML TIPO 2,76
REPARACION EN ANTENA,1200
REPARACION EN PLACA CODEC DE AUDIO IPHONE,4000
REPARACION EN PLACA IPHONE 11,6500
REPARACION EN PLACA IPHONE 14 / 14 PLUS,18000
REPARACION EN PLACA IPHONE X,4500
REPARACION EN PLACA IPHONE 11 PRO / 11 PRO MAX,8000
REPARACION EN PLACA IPHONE 12 / 12 MINI,9000
REPARACION EN PLACA IPHONE 12 PRO / 12 PRO MAX,12000
REPARACION EN PLACA IPHONE 13 / 13 MINI,14000
REPARACION EN PLACA IPHONE 13 PRO / 13 PRO MAX,17000
REPARACION EN PLACA IPHONE 14 PRO / 14 PRO MAX,18500
REPARACION EN PLACA IPHONE 5/ 5C/ 5S SE,3000
REPARACION EN PLACA IPHONE 6 /6 PLUS,3000
REPARACION EN PLACA IPHONE 6S /6S PLUS,3000
REPARACION EN PLACA IPHONE 7 / 7 PLUS,3500
REPARACION EN PLACA IPHONE 8 / 8 PLUS,3500
REPARACION EN PLACA IPHONE SE 2020,4000
REPARACION EN PLACA IPHONE TOUCH TACTIL,3500
REPARACION EN PLACA IPHONE XR,5500
REPARACION EN PLACA IPHONE XS / XS MAX,5500
REPARACION EN PLACA NIVEL 1,800
REPARACION EN PLACA SAMSUNG,1500
REPARACION IPHONE FACE ID 11 / 11 PRO / 11 PRO MAX,135
REPARACION IPHONE FACE ID 12 / 12 PRO / 12 PRO MAX,170
REPARACION IPHONE FACE ID 13 / 13 PRO / 13 PRO MAX,300
REPARACION IPHONE FACE ID 14 / 14 PLUS / 14 PRO / 14 PRO MAX,350
REPARACION IPHONE FACE ID X / XR / XS / XS MAX,100
RESPALDO DE DATOS,1500
RESPALDO DE DATOS CON PANTALLA ROTA,1500
SACAR PATRON,1200
SACAR CUENTA GOOGLE HUAWEI ALTA GAMA 43,1900
SACAR CUENTA GOOGLE HUAWEI VIEJO 42,1300
SACAR CUENTA GOOGLE SAMSUNG ALTA GAMA 45,1900
SACAR CUENTA GOOGLE SAMSUNG VIEJO 44,1300
SACAR CUENTA GOOGLE XIAOMI 40,2500
SACAR CUENTA MI XIAOMI 41,2500
SEPARADOR DE PANTALLAS SUNSHINE SS-601G,2350
SERVICIO TECNICO,1000
SET DISCOS DE CORTE DIAMANTE X 10 UNIDADES PARA DREMEL,520
SET ESPATULAS APERTURA PARA CELULARES JAKEMY JM-0P15 13 EN 1,990
SOFTWARE ANDROID AG 52,1800
SOFTWARE ANDROID V 51,1300
SOFTWARE IPHONE 5 / 8 PLUS,1000
SOFTWARE IPHONE X / 11 PRO MAX,1500
SOFTWARE IPHONE 12 / 13 PRO MAX,2500
SOLDADOR DE PUNTOS PORTATIL 650 A,"5205,67"
SOPORTE BASE PARA CAUTIN,280
SOPORTE DE SOLDADURA POR PUNTOS PARA BATERIAS RL-936WA,900
SOPORTE METALICO PARA PLACA,2150
STENCIL SAMSUNG,2000
STENCIL XIAOMI,2000
STICKER AUTOADHESIVAS 5000 PZAS,"514,08"
SUJETADOR SOPORTE PLACA HOLDER K23,1725
TAPA HUAWEI HONOR 8X AZUL,990
TAPA HUAWEI HONOR 8X NEGRO,990
TAPA HUAWEI HONOR 8X ROJO,990
TAPA HUAWEI HONOR 8X ROSADO LILA,990
TAPA HUAWEI MATE 20 AZUL,990
TAPA HUAWEI MATE 20 LITE AZUL,990
TAPA HUAWEI MATE 20 LITE DORADO,990
TAPA HUAWEI MATE 20 LITE NEGRO,990
TAPA HUAWEI MATE 20 NEGRO,990
TAPA HUAWEI MATE 20 PRO AZUL,990
TAPA HUAWEI MATE 20 PRO NEGRO,990
TAPA HUAWEI MATE 20 PRO TWILIGHT,990
TAPA HUAWEI MATE 20 PRO VERDE,990
TAPA HUAWEI NOVA 5T AZUL,990
TAPA HUAWEI NOVA 5T NEGRO,990
TAPA HUAWEI NOVA 5T VIOLETA,990
TAPA HUAWEI P10 LITE NEGRO,990
TAPA HUAWEI P20 AURORA,990
TAPA HUAWEI P20 DORADO,990
TAPA HUAWEI P20 LITE AZUL,990
TAPA HUAWEI P20 LITE DORADO,990
TAPA HUAWEI P20 LITE NEGRO,990
TAPA HUAWEI P20 NEGRO,990
TAPA HUAWEI P20 PRO AURORA,990
TAPA HUAWEI P20 PRO NEGRO,990
TAPA HUAWEI P30 LITE 24M AZUL,990
TAPA HUAWEI P30 LITE 24M NEGRO,990
TAPA HUAWEI P30 LITE 48M AZUL,990
TAPA HUAWEI P30 LITE 48M NEGRO,990
TAPA HUAWEI P30 LITE AZUL,990
TAPA HUAWEI P30 NEGRA,990
TAPA HUAWEI P30 PRO AZUL,990
TAPA HUAWEI P30 PRO NEGRA,990
TAPA HUAWEI Y6 2019 NEGRA,990
TAPA HUAWEI Y9 2019 AURORA,990
TAPA HUAWEI Y9 2019 AZUL,990
TAPA HUAWEI Y9 2019 NEGRO,990
TAPA HUAWEI Y9S AZUL,990
TAPA HUAWEI Y9S NEGRA,990
TAPA IPHONE 11 AMARILLO,4490
TAPA IPHONE 11 BLANCO,4490
TAPA IPHONE 11 NEGRO,4490
TAPA IPHONE 11 PRO BLANCA,4980
TAPA IPHONE 11 PRO DORADA,4980
TAPA IPHONE 11 PRO GRIS OSCURO,4980
TAPA IPHONE 11 PRO MAX BLANCO,4980
TAPA IPHONE 11 PRO MAX DORADO,4980
TAPA IPHONE 11 PRO MAX NEGRO,4980
TAPA IPHONE 11 PRO MAX VERDE OSCURO,4980
TAPA IPHONE 11 PRO NEGRO,4980
TAPA IPHONE 11 PURPURA,4490
TAPA IPHONE 11 ROJO,4490
TAPA IPHONE 11 VERDE,4490
TAPA IPHONE 12 AZUL,4980
TAPA IPHONE 12 BLANCO,4980
TAPA IPHONE 12 MINI BLANCO,4980
TAPA IPHONE 12 MINI NEGRO,4980
TAPA IPHONE 12 NEGRO,4980
TAPA IPHONE 12 PRO AZUL,5000
TAPA IPHONE 12 PRO GOLD,5000
TAPA IPHONE 12 PRO MAX AZUL PACIFICO,5000
TAPA IPHONE 12 PRO MAX GOLD,5000
TAPA IPHONE 12 PRO MAX GRAFITO,5000
TAPA IPHONE 12 PRO MAX SILVER - BLANCA,5000
TAPA IPHONE 12 PRO NEGRA / GRIS OSCURO,5000
TAPA IPHONE 12 PRO SILVER - BLANCA,5000
TAPA IPHONE 12 PURPURA,4980
TAPA IPHONE 12 ROJO,4980
TAPA IPHONE 12 VERDE,4980
TAPA IPHONE 13 AZUL,5500
TAPA IPHONE 13 BLANCO,5500
TAPA IPHONE 13 MINI,5500
TAPA IPHONE 13 MINI BLANCO,5500
TAPA IPHONE 13 MINI NEGRO,5500
TAPA IPHONE 13 MINI ROJO,5500
TAPA IPHONE 13 MINI ROSADO,5500
TAPA IPHONE 13 NEGRO,5500
TAPA IPHONE 13 PRO AZUL ALPINO,5500
TAPA IPHONE 13 PRO DORADO,5500
TAPA IPHONE 13 PRO GRAFITO,5500
TAPA IPHONE 13 PRO MAX AZUL ALPINO,5500
TAPA IPHONE 13 PRO MAX DORADO,5500
TAPA IPHONE 13 PRO MAX GRAFITO,5500
TAPA IPHONE 13 PRO MAX PLATA,5500
TAPA IPHONE 13 PRO MAX VERDE ALPINO,5500
TAPA IPHONE 13 PRO PLATA,5500
TAPA IPHONE 13 ROJO,5500
TAPA IPHONE 13 ROSADO,5500
TAPA IPHONE 14 AZUL,6000
TAPA IPHONE 14 BLANCA,6000
TAPA IPHONE 14 NEGRA,6000
TAPA IPHONE 14 PLUS AZUL,6000
TAPA IPHONE 14 PLUS BLANCA,6000
TAPA IPHONE 14 PLUS NEGRA,6000
TAPA IPHONE 14 PLUS PURPURA,6000
TAPA IPHONE 14 PLUS ROJA,6000
TAPA IPHONE 14 PRO BLANCA,6000
TAPA IPHONE 14 PRO DORADA,6000
TAPA IPHONE 14 PRO MAX BLANCA,6000
TAPA IPHONE 14 PRO MAX DORADA,6000
TAPA IPHONE 14 PRO MAX NEGRA,6000
TAPA IPHONE 14 PRO MAX PURPURA,6000
TAPA IPHONE 14 PRO NEGRA,6000
TAPA IPHONE 14 PRO PURPURA,6000
TAPA IPHONE 14 PURPURA,6000
TAPA IPHONE 14 ROJA,6000
TAPA IPHONE 14 ROSADA,6000
TAPA IPHONE 4 BLANCA,1500
TAPA IPHONE 4 NEGRA,1500
TAPA IPHONE 8 BLANCO,1980
TAPA IPHONE 8 DORADO,1980
TAPA IPHONE 8 NEGRA,1980
TAPA IPHONE 8 PLUS BLANCO,2970
TAPA IPHONE 8 PLUS DORADA,2970
TAPA IPHONE 8 PLUS NEGRA,2970
TAPA IPHONE 8 PLUS ROJO,2970
TAPA IPHONE 8 ROJO,1980
TAPA IPHONE SE 2020 NEGRA,1980
TAPA IPHONE X / XS BLANCO,2190
TAPA IPHONE X / XS DORADO,2190
TAPA IPHONE X / XS NEGRO,2190
TAPA IPHONE XR AMARILLO,2190
TAPA IPHONE XR AZUL CELESTE,2190
TAPA IPHONE XR BLANCO,2190
TAPA IPHONE XR NARANJA,2190
TAPA IPHONE XR NEGRO,2190
TAPA IPHONE XR ROJO,2190
TAPA IPHONE XS MAX BLANCO,2390
TAPA IPHONE XS MAX DORADO,2390
TAPA IPHONE XS MAX NEGRO,2390
TAPA MOTOROLA G7 NEGRO,990
TAPA SAMSUNG A02S NEGRA,990
TAPA SAMSUNG A03 CORE / A032 AZUL,990
TAPA SAMSUNG A03 CORE / A032 NEGRA,990
TAPA SAMSUNG A10 NEGRA,990
TAPA SAMSUNG A10S AZUL,990
TAPA SAMSUNG A11 NEGRA,990
TAPA SAMSUNG A225 NEGRA,990
TAPA SAMSUNG A30S NEGRO,990
TAPA SAMSUNG A5 2016 BLANCO,990
TAPA SAMSUNG A5 2016 DORADO,990
TAPA SAMSUNG A5 2016 NEGRO,990
TAPA SAMSUNG A5 2017 AZUL,990
TAPA SAMSUNG A5 2017 DORADO,990
TAPA SAMSUNG A50 NEGRO,990
TAPA SAMSUNG A51 NEGRA,990
TAPA SAMSUNG A52 NEGRA,990
TAPA SAMSUNG A7 2018 NEGRO,1500
TAPA SAMSUNG A8 2018 NEGRO,990
TAPA SAMSUNG J6 NEGRO,990
TAPA SAMSUNG M31 NEGRO,990
TAPA SAMSUNG NOTE 10 AZUL,990
TAPA SAMSUNG NOTE 10 AZUL OSCURO,990
TAPA SAMSUNG NOTE 10 BLANCO,990
TAPA SAMSUNG NOTE 10 NEGRO,990
TAPA SAMSUNG NOTE 10 PLATEADO,990
TAPA SAMSUNG NOTE 10 PLUS AZUL,990
TAPA SAMSUNG NOTE 10 PLUS BLANCO,990
TAPA SAMSUNG NOTE 10 PLUS NEGRO,990
TAPA SAMSUNG NOTE 10 PLUS ROSA,990
TAPA SAMSUNG NOTE 10 ROJO,990
TAPA SAMSUNG NOTE 10 ROSADO,990
TAPA SAMSUNG NOTE 20 BRONCE,990
TAPA SAMSUNG NOTE 20 PLATEADO / NEGRO,990
TAPA SAMSUNG NOTE 20 ULTRA BRONCE,990
TAPA SAMSUNG NOTE 20 ULTRA NEGRO,990
TAPA SAMSUNG NOTE 20 ULTRA VERDE,990
TAPA SAMSUNG NOTE 20 VERDE,990
TAPA SAMSUNG NOTE 5 AZUL,990
TAPA SAMSUNG NOTE 5 BLANCA,990
TAPA SAMSUNG NOTE 8 AZUL,990
TAPA SAMSUNG NOTE 8 NEGRO,990
TAPA SAMSUNG NOTE 8 PLATEADO,990
TAPA SAMSUNG NOTE 9 AZUL,990
TAPA SAMSUNG NOTE 9 NEGRO,990
TAPA SAMSUNG NOTE 9 ROSADO,990
TAPA SAMSUNG S10 BLANCO,990
TAPA SAMSUNG S10 CELESTE,990
TAPA SAMSUNG S10 NARANJA,990
TAPA SAMSUNG S10 NEGRO,990
TAPA SAMSUNG S10 PLUS BLANCO,990
TAPA SAMSUNG S10 PLUS NARANJA,990
TAPA SAMSUNG S10 PLUS NEGRO,990
TAPA SAMSUNG S10 PLUS VERDE,990
TAPA SAMSUNG S10 VERDE,990
TAPA SAMSUNG S10E NEGRO,990
TAPA SAMSUNG S10E VERDE,990
TAPA SAMSUNG S20 BLANCO,990
TAPA SAMSUNG S20 CELESTE,990
TAPA SAMSUNG S20 FE BLANCO PLATA,990
TAPA SAMSUNG S20 FE NEGRO,990
TAPA SAMSUNG S20 FE ROJO,990
TAPA SAMSUNG S20 FE ROSA PURPURA,990
TAPA SAMSUNG S20 FE VERDE,990
TAPA SAMSUNG S20 GRIS,990
TAPA SAMSUNG S20 PLATEADO,990
TAPA SAMSUNG S20 PLUS BLANCO,990
TAPA SAMSUNG S20 PLUS CELESTE,990
TAPA SAMSUNG S20 PLUS NEGRO,990
TAPA SAMSUNG S20 PLUS PLATEADO,990
TAPA SAMSUNG S20 PLUS ROJO,990
TAPA SAMSUNG S20 PLUS ROSADO,990
TAPA SAMSUNG S20 ULTRA AZUL CELESTE,990
TAPA SAMSUNG S20 ULTRA BLANCO,990
TAPA SAMSUNG S20 ULTRA NEGRO,990
TAPA SAMSUNG S20 ULTRA ROSADO,990
TAPA SAMSUNG S21 BLANCO,990
TAPA SAMSUNG S21 NEGRO,990
TAPA SAMSUNG S21 PLUS NEGRA,990
TAPA SAMSUNG S21 ROSADO,990
TAPA SAMSUNG S21 ULTRA NEGRA,990
TAPA SAMSUNG S21 ULTRA PLATEADA,990
TAPA SAMSUNG S21 VIOLETA,990
TAPA SAMSUNG S22 NEGRA,990
TAPA SAMSUNG S22 PLUS NEGRA,990
TAPA SAMSUNG S22 ULTRA NEGRA,990
TAPA SAMSUNG S6 EDGE BLANCO,990
TAPA SAMSUNG S6 EDGE DORADO,990
TAPA SAMSUNG S7 EDGE DORADO,990
TAPA SAMSUNG S7 EDGE NEGRO,990
TAPA SAMSUNG S7 EDGE PLATEADO,990
TAPA SAMSUNG S7 FLAT AZUL,990
TAPA SAMSUNG S7 FLAT BLANCO,990
TAPA SAMSUNG S7 NEGRO,990
TAPA SAMSUNG S8 AZUL,990
TAPA SAMSUNG S8 NEGRA,990
TAPA SAMSUNG S8 PLATEADO,990
TAPA SAMSUNG S8 PLUS AZUL,990
TAPA SAMSUNG S8 PLUS NEGRO,990
TAPA SAMSUNG S8 PLUS PLATEADO,990
TAPA SAMSUNG S8 PLUS PURPURA,990
TAPA SAMSUNG S9 AZUL,990
TAPA SAMSUNG S9 NEGRO,990
TAPA SAMSUNG S9 PLUS AZUL,990
TAPA SAMSUNG S9 PLUS NEGRA,990
TAPA SAMSUNG S9 PLUS PURPURA,990
TAPA SAMSUNG S9 PURPURA,990
TAPA SONY XPERIA M5 BLANCA,990
TAPA SONY XPERIA M5 NEGRA,990
TAPA SONY XPERIA X F5121 / F5122 BLANCA,990
TAPA SONY XPERIA X F5121 / F5122 NEGRA,990
TAPA SONY XPERIA Z2 BLANCA,990
TAPA XIAOMI MI 10T NEGRA,990
TAPA XIAOMI MI 8 LITE AZUL,990
TAPA XIAOMI MI 8 NEGRO,990
TAPA XIAOMI MI 8 PRO NEGRA,990
TAPA XIAOMI MI 9 NEGRA,990
TAPA XIAOMI MI 9 SE NEGRA,990
TAPA XIAOMI MI 9T AZUL,990
TAPA XIAOMI MI 9T ROJO,990
TAPA XIAOMI NOTE 8 PRO BLANCA,990
TAPA XIAOMI NOTE 8 PRO NEGRO,990
TAPA XIAOMI NOTE 8 PRO VERDE,990
TAPA XIAOMI REDMI 7 NEGRA,990
TAPA XIAOMI REDMI 9A AZUL,990
TAPA XIAOMI REDMI 9A NEGRA,990
TAPA XIAOMI REDMI 9A VERDE,990
TAPA XIAOMI REDMI 9C NEGRA,990
TAPA XIAOMI REDMI NOTE 10 PRO NEGRA,990
TAPA XIAOMI REDMI NOTE 11 PRO 5G NEGRA,1200
TAPA XIAOMI REDMI NOTE 7 NEGRO,990
TAPA XIAOMI REDMI NOTE 8 CELESTE,990
TAPA XIAOMI REDMI NOTE 8 NEGRA,990
TAPA XIAOMI REDMI NOTE 9 PRO AZUL,990
TAPA XIAOMI REDMI NOTE 9 VERDE,990
TAPA XIAOMI REDMI NOTE 9S AZUL,990
TAPA XIAOMI REDMI NOTE 9S PRO AZUL,990
TESTER CARGADOR USB FAST X6 BOCAS,2700
TESTER CARGADOR USB SS-302A,930
TESTER MEDIDOR DE CORRIENTE USB 2 KWS-V20,2500
TESTER MEDIDOR DE CORRIENTE USB TIPO C BLANCO,2500
TESTER MEDIDOR DE CORRIENTE USB TIPO C NEGRO,2500
TOUCH ALCATEL ONE TOUCH POP 2 BLANCA,1890
TOUCH ALCATEL ONE TOUCH POP 2 NEGRA,1890
TOUCH IC IPHONE 6,650
TOUCH IPAD 2 - A1395 / A1396 / A1397,2990
TOUCH IPAD 3 / 4 BLANCO - A1403 / A1416 / A1430 / A1458 / A1459 / A1460,2990
TOUCH IPAD 3 / 4 NEGRO - A1403 / A1416 / A1430 / A1458 / A1459 / A1460,2990
TOUCH IPAD 5 (A1822 / A1823) - IPAD AIR (A1474 / A1475) BLANCO FLEX EN L,2990
TOUCH IPAD 5 (A1822 / A1823) - IPAD AIR (A1474 / A1475) NEGRO FLEX EN L,1649
TOUCH IPAD 6 BLANCO (A1893 / A1954),2950
TOUCH IPAD 6 NEGRO (A1893 / A1954),2990
TOUCH IPAD 7 (A2197 / A2198 / A2200) IPAD 8 / IPAD 9 BLANCO,2990
TOUCH IPAD 7 (A2197 / A2198 / A2200) IPAD 8 / IPAD 9 NEGRO,2990
TOUCH IPAD MINI 1-2 BLANCO - A1489 / A1490,2900
TOUCH IPAD MINI 1-2 NEGRO - A1489 / A1490,2990
TOUCH IPAD MINI 3 BLANCO - A1599 / A1600,2490
TOUCH IPAD MINI 3 NEGRO - A1599 / A1600,2490
TOUCH LG G2 MINI NEGRA,2150
TOUCH LG G3S MINI GRIS,2150
TOUCH NOKIA LUMIA 520,1890
TOUCH NOKIA LUMIA 535 MICROSOFT,1900
TOUCH NOKIA LUMIA 620,1900
TOUCH NOKIA LUMIA 625,1900
TOUCH NOKIA LUMIA 820,1900
TOUCH SAMSUNG ACE 3 BLANCA,1690
TOUCH SAMSUNG ACE 3 NEGRA,1690
TOUCH SAMSUNG GRAND 2 BLANCA,2120
TOUCH SAMSUNG GRAND 2 NEGRA,2120
TOUCH SAMSUNG GRAND I9128 BLANCA,1890
TOUCH SAMSUNG GRAND I9128 NEGRA,1890
TOUCH SAMSUNG J1 BLANCA,1890
TOUCH SAMSUNG J1 NEGRA,1890
TOUCH SAMSUNG J2 PRIME ROSA,1050
TOUCH SAMSUNG TAB T560 / T561 BLANCO,1900
TOUCH SAMSUNG TAB T560 / T561 NEGRO,2800
TOUCH SAMSUNG TREND DUOS BLANCA,1900
TOUCH SAMSUNG TREND DUOS NEGRA,1900
TOUCH SONY XPERIA M2 AQUA BLANCA,1900
VELCRO DOBLE FAZ 25 MTS AZUL,600
VELCRO DOBLE FAZ 25 MTS BLANCA,600
VELCRO DOBLE FAZ 25 MTS NEGRO,600
VIBRADOR CON PARLANTE PARA SAMSUNG S22 ULTRA,0
